 &plot nbnd=  13, nks=   201 /
   -8.193   -8.192   -8.192   -8.109   -8.109   -6.212    6.660    6.738    6.738    7.278
   10.421   10.423   10.423
           -0.025000  0.025000  0.025000
   -8.193   -8.192   -8.192   -8.109   -8.109   -6.207    6.491    6.729    6.729    7.423
   10.427   10.436   10.436
           -0.037500  0.037500  0.037500
   -8.194   -8.192   -8.192   -8.109   -8.109   -6.197    6.290    6.715    6.715    7.582
   10.440   10.457   10.457
           -0.050000  0.050000  0.050000
   -8.195   -8.192   -8.192   -8.109   -8.109   -6.184    6.077    6.695    6.695    7.735
   10.461   10.485   10.485
           -0.062500  0.062500  0.062500
   -8.197   -8.191   -8.191   -8.109   -8.109   -6.167    5.857    6.671    6.671    7.875
   10.492   10.521   10.521
           -0.075000  0.075000  0.075000
   -8.198   -8.191   -8.191   -8.109   -8.109   -6.146    5.632    6.642    6.642    7.999
   10.537   10.564   10.564
           -0.087500  0.087500  0.087500
   -8.200   -8.191   -8.191   -8.109   -8.109   -6.121    5.405    6.610    6.610    8.104
   10.598   10.612   10.612
           -0.100000  0.100000  0.100000
   -8.202   -8.190   -8.190   -8.109   -8.109   -6.093    5.175    6.573    6.573    8.187
   10.665   10.665   10.677
           -0.112500  0.112500  0.112500
   -8.205   -8.190   -8.190   -8.109   -8.109   -6.062    4.944    6.534    6.534    8.250
   10.721   10.721   10.775
           -0.125000  0.125000  0.125000
   -8.207   -8.189   -8.189   -8.109   -8.109   -6.026    4.713    6.493    6.493    8.293
   10.781   10.781   10.891
           -0.137500  0.137500  0.137500
   -8.210   -8.188   -8.188   -8.109   -8.109   -5.988    4.482    6.449    6.449    8.318
   10.842   10.842   11.024
           -0.150000  0.150000  0.150000
   -8.213   -8.187   -8.187   -8.109   -8.109   -5.946    4.252    6.404    6.404    8.327
   10.904   10.904   11.172
           -0.162500  0.162500  0.162500
   -8.216   -8.187   -8.187   -8.109   -8.109   -5.900    4.023    6.358    6.358    8.323
   10.966   10.966   11.334
           -0.175000  0.175000  0.175000
   -8.219   -8.186   -8.186   -8.109   -8.109   -5.852    3.795    6.311    6.311    8.309
   11.027   11.027   11.506
           -0.187500  0.187500  0.187500
   -8.223   -8.185   -8.185   -8.109   -8.109   -5.800    3.570    6.263    6.263    8.287
   11.084   11.084   11.688
           -0.200000  0.200000  0.200000
   -8.226   -8.184   -8.184   -8.109   -8.109   -5.746    3.346    6.216    6.216    8.259
   11.139   11.139   11.876
           -0.212500  0.212500  0.212500
   -8.229   -8.183   -8.183   -8.109   -8.109   -5.688    3.126    6.170    6.170    8.226
   11.189   11.189   12.071
