 &plot nbnd=  13, nks=   201 /
            0.000000  0.000000  1.000000
   -8.272   -8.099   -8.099   -8.096   -8.053   -3.585   -0.228    3.999    3.999    8.072
    8.307   17.067   17.067
            0.000000  0.000000  0.975000
   -8.272   -8.099   -8.099   -8.096   -8.053   -3.593   -0.216    4.002    4.002    8.068
    8.318   17.045   17.045
            0.000000  0.000000  0.950000
   -8.272   -8.100   -8.100   -8.096   -8.053   -3.619   -0.182    4.010    4.010    8.058
    8.348   16.980   16.980
            0.000000  0.000000  0.925000
   -8.271   -8.100   -8.100   -8.096   -8.053   -3.660   -0.126    4.023    4.023    8.047
    8.393   16.878   16.878
            0.000000  0.000000  0.900000
   -8.270   -8.101   -8.101   -8.095   -8.053   -3.715   -0.049    4.042    4.042    8.038
    8.449   16.745   16.745
            0.000000  0.000000  0.875000
   -8.269   -8.101   -8.101   -8.095   -8.053   -3.782    0.045    4.066    4.066    8.033
    8.515   16.589   16.589
            0.000000  0.000000  0.850000
   -8.268   -8.102   -8.102   -8.094   -8.053   -3.860    0.155    4.095    4.095    8.033
    8.590   16.414   16.414
            0.000000  0.000000  0.825000
   -8.266   -8.103   -8.103   -8.094   -8.054   -3.946    0.280    4.130    4.130    8.038
    8.672   16.226   16.226
            0.000000  0.000000  0.800000
   -8.264   -8.105   -8.105   -8.093   -8.054   -4.038    0.417    4.169    4.169    8.049
    8.760   16.028   16.028
            0.000000  0.000000  0.775000
   -8.261   -8.106   -8.106   -8.092   -8.054   -4.135    0.565    4.214    4.214    8.066
    8.855   15.822   15.822
            0.000000  0.000000  0.750000
   -8.259   -8.108   -8.108   -8.091   -8.055   -4.235    0.722    4.264    4.264    8.089
    8.955   15.612   15.612
            0.000000  0.000000  0.725000
   -8.256   -8.109   -8.109   -8.091   -8.055   -4.338    0.887    4.319    4.319    8.118
    9.061   15.398   15.398
            0.000000  0.000000  0.700000
   -8.253   -8.111   -8.111   -8.090   -8.056   -4.442    1.058    4.378    4.378    8.153
    9.170   15.181   15.181
            0.000000  0.000000  0.675000
   -8.250   -8.112   -8.112   -8.089   -8.056   -4.546    1.236    4.443    4.443    8.195
    9.283   14.964   14.964
            0.000000  0.000000  0.650000
   -8.246   -8.114   -8.114   -8.088   -8.057   -4.650    1.419    4.512    4.512    8.242
    9.398   14.745   14.745
            0.000000  0.000000  0.625000
   -8.243   -8.116   -8.116   -8.086   -8.057   -4.752    1.607    4.586    4.586    8.294
    9.513   14.526   14.526
            0.000000  0.000000  0.600000
   -8.239   -8.118   -8.118   -8.085   -8.058   -4.854    1.799    4.664    4.664    8.353
    9.626   14.307   14.307
            0.000000  0.000000  0.575000
   -8.235   -8.121   -8.121   -8.084   -8.059   -4.953    1.994    4.747    4.747    8.417
    9.736   14.089   14.089
            0.000000  0.000000  0.550000
   -8.231   -8.123   -8.123   -8.083   -8.059   -5.050    2.193    4.833    4.833    8.487
    9.837   13.871   13.871
            0.000000  0.000000  0.525000
   -8.226   -8.125   -8.125   -8.082   -8.060   -5.144    2.395    4.924    4.924    8.561
    9.928   13.655   13.655
            0.000000  0.000000  0.500000
   -8.222   -8.127   -8.127   -8.081   -8.060   -5.235    2.599    5.019    5.019    8.641
   10.004   13.440   13.440
            0.000000  0.000000  0.475000
   -8.217   -8.129   -8.129   -8.080   -8.061   -5.324    2.805    5.117    5.117    8.725
   10.060   13.228   13.228
            0.000000  0.000000  0.450000
   -8.213   -8.131   -8.131   -8.079   -8.062   -5.408    3.014    5.218    5.218    8.813
   10.091   13.017   13.017
            0.000000  0.000000  0.425000
   -8.208   -8.133   -8.133   -8.078   -8.062   -5.489    3.225    5.322    5.322    8.904
   10.095   12.809   12.809
            0.000000  0.000000  0.400000
   -8.203   -8.135   -8.135   -8.076   -8.063   -5.567    3.437    5.428    5.428    8.998
   10.068   12.604   12.604
            0.000000  0.000000  0.375000
   -8.199   -8.137   -8.137   -8.076   -8.063   -5.640    3.651    5.537    5.537    9.092
   10.013   12.403   12.403
            0.000000  0.000000  0.350000
   -8.194   -8.139   -8.139   -8.075   -8.064   -5.710    3.867    5.648    5.648    9.184
    9.933   12.205   12.205
            0.000000  0.000000  0.325000
   -8.189   -8.141   -8.141   -8.074   -8.065   -5.775    4.084    5.759    5.759    9.265
    9.840   12.012   12.012
            0.000000  0.000000  0.300000
   -8.185   -8.143   -8.143   -8.073   -8.065   -5.835    4.303    5.871    5.871    9.313
    9.758   11.825   11.825
            0.000000  0.000000  0.275000
   -8.180   -8.144   -8.144   -8.072   -8.065   -5.892    4.523    5.982    5.982    9.284
    9.735   11.643   11.643
            0.000000  0.000000  0.250000
   -8.176   -8.146   -8.146   -8.071   -8.066   -5.944    4.744    6.092    6.092    9.169
    9.782   11.469   11.469
            0.000000  0.000000  0.225000
   -8.172   -8.147   -8.147   -8.071   -8.066   -5.991    4.965    6.200    6.200    9.006
    9.865   11.303   11.303
            0.000000  0.000000  0.200000
   -8.168   -8.148   -8.148   -8.070   -8.066   -6.033    5.188    6.304    6.304    8.819
    9.959   11.147   11.147
            0.000000  0.000000  0.175000
