 &plot nbnd=  30, nks=   241 /
            0.000000  0.000000  0.000000
 -121.525 -120.654  -76.890  -75.956  -75.341  -75.341  -74.572  -74.572   -9.512   -6.884
   -4.148   -4.069   -4.069   -2.924   -2.924   -1.734   -1.734   -1.448   -1.448   -1.418
    2.266    4.522    4.522    6.998    7.972    7.972    8.223   10.985   13.209   13.209
            0.000000  0.000000  0.007628
 -121.525 -120.654  -76.890  -75.956  -75.341  -75.341  -74.572  -74.572   -9.512   -6.884
   -4.148   -4.069   -4.069   -2.924   -2.924   -1.734   -1.734   -1.448   -1.448   -1.419
    2.268    4.522    4.522    6.994    7.972    7.972    8.226   10.985   13.208   13.208
            0.000000  0.000000  0.015256
 -121.525 -120.654  -76.890  -75.956  -75.341  -75.341  -74.572  -74.572   -9.512   -6.884
   -4.148   -4.069   -4.069   -2.924   -2.924   -1.734   -1.734   -1.448   -1.448   -1.420
    2.271    4.522    4.522    6.984    7.972    7.972    8.233   10.984   13.208   13.208
            0.000000  0.000000  0.022883
 -121.525 -120.654  -76.890  -75.956  -75.341  -75.341  -74.572  -74.572   -9.512   -6.884
   -4.149   -4.069   -4.069   -2.924   -2.924   -1.734   -1.734   -1.448   -1.448   -1.421
    2.276    4.522    4.522    6.968    7.971    7.971    8.246   10.984   13.207   13.207
            0.000000  0.000000  0.030511
 -121.525 -120.654  -76.890  -75.956  -75.341  -75.341  -74.572  -74.572   -9.512   -6.884
   -4.149   -4.069   -4.069   -2.924   -2.924   -1.734   -1.734   -1.448   -1.448   -1.423
    2.284    4.522    4.522    6.946    7.971    7.971    8.263   10.984   13.206   13.206
            0.000000  0.000000  0.038139
 -121.525 -120.654  -76.890  -75.956  -75.341  -75.341  -74.572  -74.572   -9.512   -6.885
   -4.149   -4.069   -4.069   -2.924   -2.924   -1.734   -1.734   -1.448   -1.448   -1.425
    2.293    4.523    4.523    6.918    7.970    7.970    8.285   10.983   13.205   13.205
            0.000000  0.000000  0.045767
 -121.525 -120.654  -76.890  -75.956  -75.341  -75.341  -74.572  -74.572   -9.512   -6.885
   -4.149   -4.069   -4.069   -2.924   -2.924   -1.734   -1.734   -1.448   -1.448   -1.428
    2.305    4.523    4.523    6.886    7.969    7.969    8.309   10.983   13.204   13.204
            0.000000  0.000000  0.053395
 -121.525 -120.654  -76.890  -75.956  -75.341  -75.341  -74.572  -74.572   -9.511   -6.885
   -4.149   -4.069   -4.069   -2.924   -2.924   -1.734   -1.734   -1.448   -1.448   -1.431
    2.318    4.524    4.524    6.850    7.968    7.968    8.337   10.982   13.202   13.202
            0.000000  0.000000  0.061022
 -121.525 -120.654  -76.890  -75.956  -75.341  -75.341  -74.572  -74.572   -9.511   -6.885
   -4.149   -4.069   -4.069   -2.924   -2.924   -1.734   -1.734   -1.448   -1.448   -1.434
    2.334    4.524    4.524    6.810    7.966    7.966    8.367   10.981   13.200   13.200
            0.000000  0.000000  0.068650
 -121.525 -120.654  -76.890  -75.956  -75.341  -75.341  -74.572  -74.572   -9.511   -6.886
   -4.150   -4.069   -4.069   -2.924   -2.924   -1.734   -1.734   -1.448   -1.448   -1.438
    2.351    4.525    4.525    6.766    7.965    7.965    8.399   10.980   13.198   13.198
            0.000000  0.000000  0.076278
 -121.525 -120.654  -76.890  -75.956  -75.341  -75.341  -74.572  -74.572   -9.511   -6.886
   -4.150   -4.069   -4.069   -2.924   -2.924   -1.734   -1.734   -1.448   -1.448   -1.443
